n,time
910,0.001323
911,0.00134
912,0.001361
913,0.001312
914,0.00129
915,0.001395
916,0.00129
917,0.001359
918,0.001368
919,0.00132
920,0.001323
921,0.001331
922,0.001338
923,0.001395
924,0.001272
925,0.001334
926,0.001511
927,0.00137
928,0.001367
929,0.001339
930,0.00137
931,0.001369
932,0.001367
933,0.001406
934,0.001385
935,0.001355
936,0.001909
937,0.001359
938,0.001406
939,0.001424
940,0.001346
941,0.001402
942,0.001412
943,0.001453
944,0.001398
945,0.001373
946,0.0019
947,0.001441
948,0.001428
949,0.001407
950,0.001401
951,0.00141
952,0.001458
953,0.001491
954,0.001417
955,0.001441
956,0.001592
957,0.001434
958,0.00147
959,0.001494
960,0.001507
961,0.001455
962,0.001512
963,0.001498
964,0.001457
965,0.001456
966,0.001573
967,0.001449
968,0.001422
969,0.001489
970,0.001461
971,0.001548
972,0.001569
973,0.001483
974,0.00148
975,0.001493
976,0.001701
977,0.001519
978,0.001512
979,0.001501
980,0.001454
981,0.001529
982,0.001525
983,0.001559
984,0.001581
985,0.001645
986,0.001519
987,0.001537
988,0.001677
989,0.001596
990,0.001547
991,0.001537
992,0.001608
993,0.00158
994,0.001679
995,0.001562
996,0.001541
997,0.001557
998,0.001548
999,0.001618
1000,0.001583
1001,0.001654
1002,0.001548
1003,0.001839
1004,0.001604
1005,0.00162
1006,0.001588
1007,0.001617
1008,0.001538
1009,0.001603
1010,0.00157
1011,0.001574
1012,0.00166
1013,0.001687
1014,0.001806
1015,0.001644
1016,0.001632
1017,0.001616
1018,0.001649
1019,0.001687
1020,0.001624
1021,0.001692
1022,0.00165
1023,0.001674
1024,0.001652
1025,0.001683
1026,0.001699
1027,0.001721
1028,0.001655
1029,0.001713
1030,0.002742
1031,0.003695
1032,0.002615
1033,0.001713
1034,0.001723
1035,0.00167
1036,0.002026
1037,0.001709
1038,0.001721
1039,0.001696
1040,0.001685
1041,0.001726
1042,0.001835
1043,0.001737
1044,0.001863
1045,0.003247
1046,0.002764
1047,0.001708
1048,0.001799
1049,0.00176
1050,0.001754
1051,0.002114
1052,0.00354
1053,0.002503
1054,0.001771
1055,0.001755
1056,0.001871
1057,0.001751
1058,0.00203
1059,0.003816
1060,0.003802
1061,0.002113
1062,0.001804
1063,0.001764
1064,0.003078
1065,0.002252
1066,0.001833
1067,0.001763
1068,0.001829
1069,0.002026
1070,0.001821
1071,0.002189
1072,0.003969
1073,0.00204
1074,0.001829
1075,0.00188
1076,0.001767
1077,0.001973
1078,0.003535
1079,0.001834
1080,0.001872
1081,0.001868
1082,0.001829
1083,0.00179
1084,0.001868
1085,0.002099
1086,0.001822
1087,0.001861
1088,0.001873
1089,0.001886
1090,0.001929
1091,0.001903
1092,0.002137
1093,0.003988
1094,0.001953
1095,0.00184
1096,0.00183
1097,0.001996
1098,0.001996
1099,0.002286
1100,0.003916
1101,0.002734
1102,0.001926
1103,0.002057
1104,0.001962
1105,0.002687
1106,0.004149
1107,0.003957
1108,0.002017
1109,0.00188
1110,0.00233
1111,0.001922
1112,0.001924
1113,0.001958
1114,0.001885
1115,0.001926
1116,0.002336
1117,0.002013
1118,0.002038
1119,0.002013
1120,0.002192
1121,0.001978
1122,0.001986
1123,0.002159
1124,0.001988
1125,0.0021
1126,0.001955
1127,0.001956
1128,0.002005
1129,0.002083
1130,0.002028
1131,0.001979
1132,0.002301
1133,0.002097
1134,0.00206
1135,0.002053
1136,0.002005
1137,0.002098
1138,0.002056
1139,0.002254
1140,0.002057
1141,0.002046
1142,0.002073
1143,0.002124
1144,0.002131
1145,0.002162
1146,0.002355
1147,0.002039
1148,0.002085
1149,0.002091
1150,0.002078
1151,0.002119
1152,0.002096
1153,0.002367
1154,0.002062
1155,0.001999
1156,0.002052
1157,0.002076
1158,0.002184
1159,0.002124
1160,0.002368
1161,0.002144
1162,0.002093
1163,0.002107
1164,0.002172
1165,0.00221
1166,0.002153
1167,0.002322
1168,0.002134
1169,0.002179
1170,0.002196
1171,0.002235
1172,0.002114
1173,0.002353
1174,0.002349
1175,0.002153
1176,0.002152
1177,0.002179
1178,0.002292
1179,0.002122
1180,0.002593
1181,0.002327
1182,0.002221
1183,0.002129
1184,0.002179
1185,0.002377
1186,0.00227
1187,0.003023
1188,0.002245
1189,0.002211
1190,0.00222
1191,0.002221
1192,0.002197
1193,0.002307
1194,0.002234
1195,0.002201
1196,0.002211
1197,0.002274
1198,0.002293
1199,0.0022
1200,0.00225
1201,0.002249
1202,0.002266
1203,0.002269
1204,0.002353
1205,0.002271
1206,0.002407
1207,0.002242
1208,0.002307
1209,0.002356
1210,0.00225
1211,0.002446
1212,0.002384
1213,0.002368
1214,0.002289
1215,0.002336
1216,0.002367
1217,0.002396
1218,0.002346
1219,0.002607
1220,0.002319
1221,0.002334
1222,0.002264
1223,0.002407
1224,0.002412
1225,0.002559
1226,0.002392
1227,0.002368
1228,0.00233
1229,0.002426
1230,0.002386
1231,0.002653
1232,0.002392
1233,0.002347
1234,0.002394
1235,0.002363
1236,0.002512
1237,0.002672
1238,0.002372
1239,0.002394
1240,0.002464
1241,0.002485
1242,0.002468
1243,0.00261
1244,0.002548
1245,0.002494
1246,0.002447
1247,0.002437
1248,0.002603
1249,0.002685
1250,0.002445
1251,0.002459
1252,0.002464
1253,0.002483
1254,0.002518
1255,0.002828
1256,0.002565
1257,0.002495
1258,0.002493
1259,0.002582
1260,0.002507
1261,0.002795
1262,0.00254
1263,0.002453
1264,0.002445
1265,0.002628
1266,0.002505
1267,0.002763
1268,0.002564
1269,0.002555
1270,0.002576
1271,0.002568
1272,0.002573
1273,0.002768
1274,0.002517
1275,0.0026
1276,0.002498
1277,0.002649
1278,0.002763
1279,0.002541
1280,0.00265
1281,0.002643
1282,0.00262
1283,0.002628
1284,0.002901
1285,0.002665
1286,0.002509
1287,0.002605
1288,0.00281
1289,0.002745
1290,0.002766
1291,0.002627
1292,0.00259
1293,0.002575
1294,0.002777
1295,0.004826
1296,0.002743
1297,0.002671
1298,0.002642
1299,0.002598
1300,0.002965
1301,0.00267
1302,0.002628
1303,0.00267
1304,0.002674
1305,0.002921
1306,0.002707
1307,0.002672
1308,0.002649
1309,0.002756
1310,0.002644
1311,0.003062
1312,0.002956
1313,0.004844
1314,0.002751
1315,0.003138
1316,0.002786
1317,0.002676
1318,0.002737
1319,0.003023
1320,0.002777
1321,0.005411
1322,0.003432
1323,0.002722
1324,0.002873
1325,0.003027
1326,0.002793
1327,0.002827
1328,0.002752
1329,0.002865
1330,0.003378
1331,0.002833
1332,0.002749
1333,0.002778
1334,0.002798
1335,0.002919
1336,0.002895
1337,0.002897
1338,0.00275
1339,0.002837
1340,0.00275
1341,0.003076
1342,0.002826
1343,0.002809
1344,0.002811
1345,0.002941
1346,0.003104
1347,0.002874
1348,0.002919
1349,0.002867
1350,0.002789
1351,0.002996
1352,0.006351
1353,0.004429
1354,0.004676
1355,0.005276
1356,0.005331
1357,0.00523
1358,0.005119
1359,0.004894
1360,0.004722
1361,0.004758
1362,0.004624
1363,0.004805
1364,0.004844
1365,0.004646
1366,0.004808
1367,0.004659
1368,0.004725
1369,0.004721
1370,0.004533
1371,0.004598
1372,0.004799
1373,0.004976
1374,0.004748
1375,0.005099
1376,0.005235
1377,0.005085
1378,0.005387
1379,0.005515
1380,0.005781
1381,0.004915
1382,0.003637
1383,0.003264
1384,0.003024
1385,0.003129
1386,0.003157
1387,0.002996
1388,0.003136
1389,0.003003
1390,0.00306
1391,0.00312
1392,0.00305
1393,0.003077
1394,0.003084
1395,0.003149
1396,0.004012
1397,0.003634
1398,0.005789
1399,0.004887
1400,0.003092
1401,0.003002
1402,0.003043
1403,0.003178
1404,0.003142
1405,0.003201
1406,0.003137
1407,0.003396
1408,0.003182
1409,0.003566
1410,0.003085
1411,0.003112
1412,0.003313
1413,0.004366
1414,0.003194
1415,0.003113
1416,0.003365
1417,0.003277
1418,0.003212
1419,0.003229
1420,0.003157
1421,0.003419
1422,0.003569
1423,0.003175
1424,0.003179
1425,0.003173
1426,0.003116
1427,0.00346
1428,0.003216
1429,0.003166
1430,0.003208
1431,0.00374
1432,0.006996
1433,0.005854
1434,0.004861
1435,0.006929
1436,0.005424
1437,0.006557
1438,0.003253
1439,0.003317
1440,0.004393
1441,0.004756
1442,0.003352
1443,0.003659
1444,0.004007
1445,0.00357
1446,0.00323
